post_id,tag_name,tag_id,tag_position,title
1987824,c#,9,0,C# Synchronizing different time zones
1987824,datetime,1263,1,C# Synchronizing different time zones
1987824,synchronization,1652,2,C# Synchronizing different time zones
1987824,timezone,982,3,C# Synchronizing different time zones
1987825,c#,9,0,How do I make a Gtk.Frame's label bold?
1987825,gtk,127,1,How do I make a Gtk.Frame's label bold?
1987829,php,5,0,Searching from comma separated value
1987829,mysql,21,1,Searching from comma separated value
1987829,csv,73,2,Searching from comma separated value
1987833,wpf,378,0,How to synchronize column widths between two nested datagrids?
1987833,datagrid,1307,2,How to synchronize column widths between two nested datagrids?
1987833,binding,1137,3,How to synchronize column widths between two nested datagrids?
1987836,entity-framework,2535,0,Creating a non mapped property in an entity (entity framework)
1987841,c#,9,0,Is C# the same as Objective-C?
1987841,objective-c,7003,1,Is C# the same as Objective-C?
1987843,iphone,154,0,"UIScrollView and UIButton, UIButtons Disappearing"
1987843,uiscrollview,24384,1,"UIScrollView and UIButton, UIButtons Disappearing"
1987843,uibutton,21111,2,"UIScrollView and UIButton, UIButtons Disappearing"
1987848,python,16,0,Convert an image to RGBA mode with python
1987848,image,4985,1,Convert an image to RGBA mode with python
1987856,asp.net,96,0,Yui files are too heavy and affect site's performance
1987856,performance,598,1,Yui files are too heavy and affect site's performance
1987857,iphone,154,0,UIPickerView - Selects row too fast
1987857,objective-c,7003,1,UIPickerView - Selects row too fast
1987858,c#,9,0,Installing SQL Server and .NET Framework from a visual studio setup project
1987858,.net,1,1,Installing SQL Server and .NET Framework from a visual studio setup project
1987865,visual-c++,34469,0,Compiling with /EHa: any problems with 3rd party .lib/.dll?
1987865,exception-handling,3586,1,Compiling with /EHa: any problems with 3rd party .lib/.dll?
1987865,compilation,4545,2,Compiling with /EHa: any problems with 3rd party .lib/.dll?
1987867,django,243,0,satchmo can't handle 500 error
1987867,debugging,277,1,satchmo can't handle 500 error
1987868,objective-c,7003,0,Does GCC have a GUI?
1987868,user-interface,865,1,Does GCC have a GUI?
1987868,gcc,1477,2,Does GCC have a GUI?
1987868,ide,110,3,Does GCC have a GUI?
1987869,cross-browser,6752,0,What are the various browser data cache sizes?
1987881,jquery,820,0,How to have different edit options for add & edit forms in jqGrid
1987881,forms,49,1,How to have different edit options for add & edit forms in jqGrid
1987881,jqgrid,11204,2,How to have different edit options for add & edit forms in jqGrid
1987883,scheme,991,1,Why does this script-fu not work?
1987884,actionscript-3,14012,0,Finding Something lighter than Sprites!
1987884,bitmap,6557,1,Finding Something lighter than Sprites!
1987887,c++,10,0,"Which is more efficient: Bit, byte or int?"
1987887,struct,1617,1,"Which is more efficient: Bit, byte or int?"
1987887,types,1926,2,"Which is more efficient: Bit, byte or int?"
1987891,flash,299,0,"Flash not connecting via open-socket, security issue"
1987891,sockets,35,1,"Flash not connecting via open-socket, security issue"
1987892,java,17,0,what are java executable format both in unix and windows
1987893,c#,9,0,While storing 0.0 in a datatable it gets stored as 0 only
1987893,asp.net,96,1,While storing 0.0 in a datatable it gets stored as 0 only
1987896,cakephp,3437,0,how to open & use cakephp i18n console?
1987896,console,488,1,how to open & use cakephp i18n console?
1987901,java,17,0,Java: Equalator? (removing duplicates from a collection of objects)
1987901,collections,343,1,Java: Equalator? (removing duplicates from a collection of objects)
1987902,msbuild,265,0,compile multiple dlls
1987907,java,17,0,Minimal API v. Convenience
1987907,oop,137,1,Minimal API v. Convenience
1987907,interface,5029,2,Minimal API v. Convenience
1987910,django,243,0,Django Nested Relations
1987910,django-models,10742,1,Django Nested Relations
1987910,django-templates,10491,2,Django Nested Relations
1987919,python,16,0,Why can @decorator not decorate a staticmethod or a classmethod?
1987926,linux,58,0,How do I grep recursively?
1987926,unix,34,1,How do I grep recursively?
1987926,grep,1271,2,How do I grep recursively?
1987927,javascript,3,0,Javascript/JQuery remove from tabindex
1987927,jquery,820,1,Javascript/JQuery remove from tabindex
1987927,html,2,2,Javascript/JQuery remove from tabindex
1987929,iphone,154,0,Why do I get an exception when pulling an image from UIImagePickerController?
1987929,cocoa-touch,1435,1,Why do I get an exception when pulling an image from UIImagePickerController?
1987930,php,5,0,cURL without cURL- problem
1987930,curl,1554,1,cURL without cURL- problem
1987932,login,3854,0,Facebook Connect Login redirecting in Chrome and Safari
1987932,google-chrome,3600,1,Facebook Connect Login redirecting in Chrome and Safari
1987932,facebook,2218,2,Facebook Connect Login redirecting in Chrome and Safari
1987934,flash,299,0,Extending BitMap class. will addChild() accept subClasses?
1987934,actionscript-3,14012,1,Extending BitMap class. will addChild() accept subClasses?
1987934,bitmap,6557,2,Extending BitMap class. will addChild() accept subClasses?
1987936,actionscript-3,14012,0,Polarized shift of percentage values
1987936,math,259,1,Polarized shift of percentage values
1987943,iphone,154,0,scroll to a specific textfield in a scrollview/scrollview stop scrolling when keyboard is on screen
1987945,javascript,3,0,JavaScript for loop not changing link text
1987945,css,4,1,JavaScript for loop not changing link text
1987950,c#,9,0,Using / or \\ for folder paths in C#
1987950,windows,64,1,Using / or \\ for folder paths in C#
1987950,string,139,2,Using / or \\ for folder paths in C#
1987950,path,6268,3,Using / or \\ for folder paths in C#
1987950,escaping,4804,4,Using / or \\ for folder paths in C#
1987952,php,5,0,Combine multiple files and folders into one file using PHP
1987952,zip,881,1,Combine multiple files and folders into one file using PHP
1987955,ruby,12,0,Double ampersand in Ruby
1987957,c,8,0,Difference between LPVOID and void*
1987961,wpf,378,0,resolution in WPF
1987961,grid,523,1,resolution in WPF
1987976,java,17,0,Paint background of JPanel
1987976,background,2827,1,Paint background of JPanel
1987976,jpanel,13138,2,Paint background of JPanel
1987977,html,2,0,Linking an external CSS stylesheet to HTML
1987977,css,4,1,Linking an external CSS stylesheet to HTML
1987981,cordova,78331,1,PhoneGap example app does not do anything
1987984,java,17,0,Difference between tomcat and resin?
1987984,tomcat,1603,1,Difference between tomcat and resin?
1987990,jquery,820,0,Get what's in between the anchor tag that 's clicked
1987990,html,2,1,Get what's in between the anchor tag that 's clicked
1987996,php,5,0,C++ #define in PHP
1988005,wcf,752,0,Multiple WCF service of the same service and contract type
1988009,java,17,0,Can I batch some Swing component updates so that repaints are all done at once?
1988009,swing,1082,1,Can I batch some Swing component updates so that repaints are all done at once?
1988010,c#,9,0,LINQ to SQL business object creation best practices
1988010,asp.net,96,1,LINQ to SQL business object creation best practices
1988010,linq-to-sql,33126,2,LINQ to SQL business object creation best practices
1988012,.net,1,0,"HTTPWebRequest, SSL end point validation and"
1988012,ssl,641,1,"HTTPWebRequest, SSL end point validation and"
1988014,version-control,456,0,"In bazaar, how do I change the default target of ""bzr push""?"
1988015,windows-7,34595,0,Trying to use tcl threads on windows 7 results in access violation
1988016,java,17,0,Named Parameter idiom in Java
1988018,css,4,0,inline div background not showing up
1988022,asp.net,96,0,How would you compare IIS & Cassini as production servers?
1988022,iis,215,1,How would you compare IIS & Cassini as production servers?
1988022,deployment,190,2,How would you compare IIS & Cassini as production servers?
1988022,webserver,1074,3,How would you compare IIS & Cassini as production servers?
1988023,php,5,0,PHP: Why typecast with !!$var instead of (boolean)$var?
1988023,casting,2754,1,PHP: Why typecast with !!$var instead of (boolean)$var?
1988023,boolean,2848,2,PHP: Why typecast with !!$var instead of (boolean)$var?
1988027,flash,299,0,BitMap Eventlistener not working
1988027,actionscript-3,14012,1,BitMap Eventlistener not working
1988027,actionscript,1709,2,BitMap Eventlistener not working
1988028,silverlight,376,0,Silverlight: Define a custom ControlTemplate in C# instead of XAML
1988028,xaml,1117,1,Silverlight: Define a custom ControlTemplate in C# instead of XAML
1988033,android,1386,0,Use URL to show new activity?
1988033,android-activity,73524,2,Use URL to show new activity?
1988033,webview,22905,3,Use URL to show new activity?
1988039,java,17,0,How do I debug a remote application in my eclipse
1988039,eclipse,53,1,How do I debug a remote application in my eclipse
1988046,css,4,0,Attempting to use Segoe font in browser
1988046,windows-7,34595,1,Attempting to use Segoe font in browser
1988046,fonts,916,2,Attempting to use Segoe font in browser
1988049,ruby-on-rails,4984,0,Getting a user country name from originating IP address with Ruby on Rails
1988051,java,17,0,How to setup java web architecture on hosting slice/dedicated server?
1988052,php,5,0,Drupal session help needed
1988052,drupal,3262,1,Drupal session help needed
1988060,iphone,154,0,UIView autoresizingmask not working for me
1988060,uiview,26050,1,UIView autoresizingmask not working for me
1988060,uiviewcontroller,25863,2,UIView autoresizingmask not working for me
1988063,java,17,0,Suggestion for annotation only ORM framework (Java)
1988063,orm,647,1,Suggestion for annotation only ORM framework (Java)
1988063,annotations,2404,2,Suggestion for annotation only ORM framework (Java)
1988070,iphone,154,0,"Generate a call, sms, etc from iphone"
1988076,php,5,0,Gnokii working in Linux command line but not in PHP system command
1988077,java,17,0,is it possible to overload a final method
1988078,android,1386,0,Android - Failed to find provider info for com.google.settings in MapView Example
1988088,sql-server,72,0,"SQL: Does disabling triggers count as schema change? (""Could not complete cursor operation because the table schema changed"")"
1988088,sql-server-2005,4527,1,"SQL: Does disabling triggers count as schema change? (""Could not complete cursor operation because the table schema changed"")"
1988088,tsql,23,2,"SQL: Does disabling triggers count as schema change? (""Could not complete cursor operation because the table schema changed"")"
1988091,python,16,0,Poor numpy.cross() performance
1988091,performance,598,1,Poor numpy.cross() performance
1988091,numpy,4190,2,Poor numpy.cross() performance
1988100,math,259,0,How to determine ordering of 3D vertices
1988102,java,17,0,is possible to overload a main method?
1988104,sql-server,72,0,How Can I Order in an SQL Statement?
1988104,select,1151,1,How Can I Order in an SQL Statement?
1988107,wpf,378,0,Report viewer in wpf and selection formula
1988109,html,2,0,Doctype html issue
1988110,vb.net,41,0,Is it possible to make an operating system using VB.NET?
1988110,operating-system,1987,1,Is it possible to make an operating system using VB.NET?
1988113,api,201,0,"Read Installed Device Driver Details (version, install date, path etc), on Win system"
1988113,winapi,889,1,"Read Installed Device Driver Details (version, install date, path etc), on Win system"
1988115,image,4985,0,Cubic image converter?
1988115,video,519,1,Cubic image converter?
1988119,asp.net-mvc,470,0,ControllerFactory : Entity Framework
1988119,controller,2999,1,ControllerFactory : Entity Framework
1988121,templates,1478,0,Ant-Ivy-Scala Template: any suggestions on improvements?
1988121,scala,3143,1,Ant-Ivy-Scala Template: any suggestions on improvements?
1988121,ant,142,2,Ant-Ivy-Scala Template: any suggestions on improvements?
1988122,css,4,0,"Changing font color of <a> contained within <li>, but on hover over <li>"
1988127,performance,598,0,Managing Setup code with TimeIt
1988127,python,16,1,Managing Setup code with TimeIt
1988133,javascript,3,0,How to write print css to get print from web pages in almost same manner as we get from MS word?
1988133,css,4,1,How to write print css to get print from web pages in almost same manner as we get from MS word?
1988133,xhtml,644,2,How to write print css to get print from web pages in almost same manner as we get from MS word?
1988133,printing,87,3,How to write print css to get print from web pages in almost same manner as we get from MS word?
1988133,ms-word,4948,4,How to write print css to get print from web pages in almost same manner as we get from MS word?
1988135,iphone,154,0,error from debugger :error launching remote program
1988137,java,17,0,"Java definitions: Label, Token"
1988139,html,2,0,is it possible to use a button as an hyperlink in html
1988140,javascript,3,0,Javascript css class based on random number
1988140,css,4,1,Javascript css class based on random number
1988149,python,16,0,Why django contains a lot of '__init__.py'?
1988149,django,243,1,Why django contains a lot of '__init__.py'?
1988149,module,3849,2,Why django contains a lot of '__init__.py'?
1988150,python,16,0,Qt Python - report in toolbox: QTextDocument and QPainter
1988150,html,2,1,Qt Python - report in toolbox: QTextDocument and QPainter
1988150,qt,1158,2,Qt Python - report in toolbox: QTextDocument and QPainter
1988151,jquery-ui,4196,0,jqueryui draggable question: how to drag multiple elements at the same time?
1988153,django,243,0,Django and App Engine
1988153,google-app-engine,984,1,Django and App Engine
1988157,php,5,0,Application processes + Triggers. Is it good?
1988157,mysql,21,1,Application processes + Triggers. Is it good?
1988157,triggers,1694,2,Application processes + Triggers. Is it good?
1988159,java,17,0,How to display flowcharts dynamically in java?
1988159,user-interface,865,1,How to display flowcharts dynamically in java?
1988159,swing,1082,2,How to display flowcharts dynamically in java?
1988159,graph,5382,3,How to display flowcharts dynamically in java?
1988160,c,8,0,counting float digits (hw) C
1988162,javascript,3,0,Center object in window
1988162,html,2,1,Center object in window
1988162,css,4,2,Center object in window
1988163,vim,370,0,When to use :abbr vs. :map in vi/vim
1988163,macros,450,1,When to use :abbr vs. :map in vi/vim
1988170,php,5,0,How to to remove certain colors from an image with PHP or Ruby?
1988170,ruby,12,1,How to to remove certain colors from an image with PHP or Ruby?
1988181,scala,3143,0,Pattern matching structural types in Scala
1988181,pattern-matching,12282,1,Pattern matching structural types in Scala
1988182,python,16,0,why my 'time' class has not 'tzset' attribute
1988182,syntax,367,1,why my 'time' class has not 'tzset' attribute
1988186,c,8,0,How do I set a string property of a struct?
1988186,struct,1617,1,How do I set a string property of a struct?
1988188,winforms,36252,0,how to read data from a web browser
1988189,sql,22,0,SQL Count(*) on multiple tables
1988189,count,7989,1,SQL Count(*) on multiple tables
1988191,c#,9,0,Custom Base32 encoding code C#
1988191,encoding,1124,1,Custom Base32 encoding code C#
1988191,character-encoding,12658,2,Custom Base32 encoding code C#
1988192,c++,10,0,ACE_Mutex::acquire problem
1988196,java,17,0,Is it possible to make an operating system using java?
1988196,operating-system,1987,1,Is it possible to make an operating system using java?
1988202,java,17,1,How do I get a webpage to open up in a frame?
1988216,c#,9,0,What exactly means locking on an object?
1988216,multithreading,1381,1,What exactly means locking on an object?
1988216,locking,3227,2,What exactly means locking on an object?
1988228,ruby-on-rails,4984,0,Rails custom script/console?
1988228,plugins,965,1,Rails custom script/console?
1988228,console,488,2,Rails custom script/console?
1988229,asp.net,96,0,pagination problem on iis server v5.1 using asp.net mvc framework
1988229,asp.net-mvc,470,1,pagination problem on iis server v5.1 using asp.net mvc framework
1988229,pagination,1378,2,pagination problem on iis server v5.1 using asp.net mvc framework
1988230,php,5,0,PHP Tag Cloud System
1988230,mysql,21,1,PHP Tag Cloud System
1988230,tags,115,2,PHP Tag Cloud System
1988231,c#,9,0,Regex help: My regex pattern will match invalid strings
1988231,regex,18,1,Regex help: My regex pattern will match invalid strings
1988248,linux,58,0,How to edit Linux source code?
1988249,bash,387,0,How do I use su to execute the rest of the bash script as that user?
1988249,permissions,359,1,How do I use su to execute the rest of the bash script as that user?
1988252,php,5,0,How to remove folder with PHP?
1988263,ruby-on-rails,4984,0,Routed controller page not found with Rails
1988267,apache,80,0,Apache Options -Indexes configuration not working
1988272,c#,9,0,Complex Dictionary Print
1988272,dictionary,1834,1,Complex Dictionary Print
1988274,ruby,12,0,ruby working on array elements in groups of four
1988275,c,8,0,Windows API similar to pthread_cancel?
1988275,windows,64,1,Windows API similar to pthread_cancel?
1988275,multithreading,1381,2,Windows API similar to pthread_cancel?
1988277,css,4,0,CSS Justify width of 5 links in 412px
1988280,iis,215,0,Webpages cannot access folders. (IIS)
1988280,directory,218,1,Webpages cannot access folders. (IIS)
1988280,asp.net,96,2,Webpages cannot access folders. (IIS)
1988286,python,16,0,Asyncore not working properly with Tkinter GUI
1988286,tkinter,5323,1,Asyncore not working properly with Tkinter GUI
1988294,javascript,3,0,How to modify the content of fb:request-form dynamically using Javascript?
1988294,facebook,2218,1,How to modify the content of fb:request-form dynamically using Javascript?
1988300,c#,9,0,Is it possible to call Javascript method from c# winforms?
1988300,javascript,3,1,Is it possible to call Javascript method from c# winforms?
1988300,winforms,36252,2,Is it possible to call Javascript method from c# winforms?
1988302,c#,9,0,Video Convert to flv
1988302,asp.net,96,1,Video Convert to flv
1988302,ffmpeg,3847,2,Video Convert to flv
1988317,c#,9,0,"how to remove the exception, System.InvalidOperationException?"
1988320,javascript,3,0,Get values in an array of JSON objects
1988320,arrays,114,1,Get values in an array of JSON objects
1988320,json,1508,2,Get values in an array of JSON objects
1988320,loops,2314,3,Get values in an array of JSON objects
1988321,jquery,820,0,Using jQuery in a GreaseMonkey script for GMail
1988322,c#,9,0,Exception handling in c#
1988322,exception-handling,3586,1,Exception handling in c#
1988324,c,8,0,How to alter the recursive locking behaviour of Windows Mutex?
1988324,windows,64,1,How to alter the recursive locking behaviour of Windows Mutex?
1988325,prolog,8746,0,How to process formula by prolog?
1988328,language-agnostic,33,0,How can we best represent the SDLC process as a board game?
1988333,search,816,0,Find Text Between two words in Java
1988333,text,1469,1,Find Text Between two words in Java
1988346,c,8,0,Comparison of character in C literal string
1988346,string,139,1,Comparison of character in C literal string
1988346,char,10256,2,Comparison of character in C literal string
1988349,javascript,3,0,Array.push() if does not exist?
1988349,arrays,114,1,Array.push() if does not exist?
1988349,json,1508,2,Array.push() if does not exist?
1988354,ruby-on-rails,4984,0,"Rails, Paperclip Failing to Save File"
1988358,asp.net,96,0,How to transfer paramenters to Partial View in ASP.NET MVC?
1988358,asp.net-mvc,470,1,How to transfer paramenters to Partial View in ASP.NET MVC?
1988358,parameters,360,2,How to transfer paramenters to Partial View in ASP.NET MVC?
1988359,html,2,0,"When the browser is zoom out, my web page looks bad!. Why?"
1988359,css,4,1,"When the browser is zoom out, my web page looks bad!. Why?"
1988375,iphone,154,0,"Max payload size for http request and response, iphone"
1988375,http,5210,1,"Max payload size for http request and response, iphone"
1988376,iphone,154,0,Connection Time out in iphone for http requests
1988376,http,5210,1,Connection Time out in iphone for http requests
1988377,jquery,820,0,adding points to a weather map
1988377,map,7715,1,adding points to a weather map
1988378,jquery,820,0,Not able to call .php file through JQuery
1988378,json,1508,1,Not able to call .php file through JQuery
1988381,php,5,0,embedded php code in html being displayed
1988381,html,2,1,embedded php code in html being displayed
1988385,c++,10,0,How are open source projects commonly organized and deployed?
1988385,deployment,190,1,How are open source projects commonly organized and deployed?
1988385,version-control,456,2,How are open source projects commonly organized and deployed?
1988385,build,5647,3,How are open source projects commonly organized and deployed?
1988391,internet-explorer,1189,0,Passing data between HTTPS and HTTP
1988391,iframe,643,1,Passing data between HTTPS and HTTP
1988393,.net,1,0,Need Working Example of Shell32's ExtractAssociatedIcon Function in .NET
1988403,java,17,0,The system is out of resources when building Apache FOP
1988403,out-of-memory,9511,1,The system is out of resources when building Apache FOP
1988406,asp.net-mvc-2,67618,0,Why Spark viewengine renders unnecessary (or unexpected) quotes?
1988415,.net,1,0,cannot convert from 'System.Guid?' to 'System.Guid'
1988421,wpf,378,0,Smooth animation using MatrixTransform?
1988421,animation,1065,1,Smooth animation using MatrixTransform?
1988421,matrix,8512,2,Smooth animation using MatrixTransform?
1988424,c#,9,0,Return all values from table if query string is empty
1988424,asp.net,96,1,Return all values from table if query string is empty
1988436,php,5,0,How to get the download speed using php
1988436,download,8109,1,How to get the download speed using php
1988436,connection,281,2,How to get the download speed using php
1988436,performance,598,3,How to get the download speed using php
1988437,php,5,0,How to start to dev a Web Directory System
1988438,php,5,0,PHP's Dot Equals `.=` operator in Javascript?
